
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
205.451,179.146,53.1508,um,Spot,Position,1,0,
202.887,177.091,54.7419,um,Spot,Position,1,1,
218.353,193.052,53.3525,um,Spot,Position,1,2,
220.856,190.077,56.886,um,Spot,Position,1,3,
203.957,222.524,58.5703,um,Spot,Position,1,4,
213.259,117.665,73.7913,um,Spot,Position,1,5,
197.003,128.08,72.1673,um,Spot,Position,1,6,
215.376,117.619,75.5469,um,Spot,Position,1,7,
178.893,146.518,77.2021,um,Spot,Position,1,8,
208.593,155.516,66.4622,um,Spot,Position,1,9,
185.745,179.48,67.7479,um,Spot,Position,1,10,
216.846,149.26,72.6071,um,Spot,Position,1,11,
210.309,165.657,71.487,um,Spot,Position,1,12,
195.789,175.13,73.7809,um,Spot,Position,1,13,
210.467,182.054,71.2213,um,Spot,Position,1,14,
184.583,188.128,72.5698,um,Spot,Position,1,15,
192.254,158.702,77.4052,um,Spot,Position,1,16,
178.67,166.218,77.1427,um,Spot,Position,1,17,
197.246,175.308,75.8216,um,Spot,Position,1,18,
246.5,163.034,77.5975,um,Spot,Position,1,19,
245.631,183.495,77.7663,um,Spot,Position,1,20,
147.909,208.083,77.2492,um,Spot,Position,1,21,
193.686,200.102,61.9474,um,Spot,Position,1,22,
203.526,204.841,65.3128,um,Spot,Position,1,23,
216.823,244.081,66.5988,um,Spot,Position,1,24,
192.111,240.294,76.5819,um,Spot,Position,1,25,
223.002,200.958,67.1741,um,Spot,Position,1,26,
180.97,255.756,77.8016,um,Spot,Position,1,27,
199.723,136.128,88.2648,um,Spot,Position,1,28,
213.036,141.942,86.0662,um,Spot,Position,1,29,
187.91,130.528,91.2572,um,Spot,Position,1,30,
202.575,135.493,91.0438,um,Spot,Position,1,31,
183.729,139.848,96.2857,um,Spot,Position,1,32,
218.713,141.116,81.6313,um,Spot,Position,1,33,
230.453,131.657,87.154,um,Spot,Position,1,34,
220.264,131.125,94.6787,um,Spot,Position,1,35,
229.227,139.974,98.1547,um,Spot,Position,1,36,
159.477,171.327,93.3173,um,Spot,Position,1,37,
160.117,169.68,96.5926,um,Spot,Position,1,38,
180.077,156.354,81.9333,um,Spot,Position,1,39,
202.149,172.256,82.8895,um,Spot,Position,1,40,
200.222,147.724,85.7753,um,Spot,Position,1,41,
187.481,165.536,86.3189,um,Spot,Position,1,42,
183.768,148.161,91.6307,um,Spot,Position,1,43,
224.734,158.818,79.8006,um,Spot,Position,1,44,
232.452,147.977,87.1409,um,Spot,Position,1,45,
237.626,161.361,88.3701,um,Spot,Position,1,46,
237.022,150.186,92.3271,um,Spot,Position,1,47,
252.249,164.946,91.2742,um,Spot,Position,1,48,
212.461,240.659,81.9231,um,Spot,Position,1,49,
235.978,223.686,83.492,um,Spot,Position,1,50,
258.392,207.118,91.7492,um,Spot,Position,1,51,
231.441,240.469,93.2985,um,Spot,Position,1,52,
244.035,207.36,95.6142,um,Spot,Position,1,53,
233.158,241.507,94.9836,um,Spot,Position,1,54,
168.657,257.235,86.7365,um,Spot,Position,1,55,
183.548,256.007,97.553,um,Spot,Position,1,56,
197.967,146.168,99.6861,um,Spot,Position,1,57,
214.761,112.809,104.794,um,Spot,Position,1,58,
209.348,124.442,104.224,um,Spot,Position,1,59,
180.403,136.436,106.148,um,Spot,Position,1,60,
186.277,126.431,111.252,um,Spot,Position,1,61,
204.272,126.641,111.478,um,Spot,Position,1,62,
212.168,136.278,112.766,um,Spot,Position,1,63,
189.749,141.83,110.447,um,Spot,Position,1,64,
178.003,126.902,114.494,um,Spot,Position,1,65,
179.744,146.101,116.731,um,Spot,Position,1,66,
219.988,113.442,101.55,um,Spot,Position,1,67,
219.503,127.487,111.453,um,Spot,Position,1,68,
240.925,132.873,110.88,um,Spot,Position,1,69,
230.774,144.565,112.912,um,Spot,Position,1,70,
227.874,121.645,114.905,um,Spot,Position,1,71,
228.491,141.752,115.209,um,Spot,Position,1,72,
250.484,146.092,115.315,um,Spot,Position,1,73,
161.935,169.911,100.095,um,Spot,Position,1,74,
144.112,186.377,100.526,um,Spot,Position,1,75,
163.024,148.882,106.984,um,Spot,Position,1,76,
158.142,166.403,107.403,um,Spot,Position,1,77,
160.429,161.948,111.623,um,Spot,Position,1,78,
165.992,165.293,110.865,um,Spot,Position,1,79,
204.206,153.847,101.485,um,Spot,Position,1,80,
171.26,167.74,100.744,um,Spot,Position,1,81,
172.045,159.124,115.002,um,Spot,Position,1,82,
242.959,151.93,102.321,um,Spot,Position,1,83,
245.522,160.573,100.215,um,Spot,Position,1,84,
231.015,149.533,105.577,um,Spot,Position,1,85,
250.41,150.365,104.658,um,Spot,Position,1,86,
267.018,188.278,107.567,um,Spot,Position,1,87,
248.859,160.394,110.682,um,Spot,Position,1,88,
267.419,196.383,112.004,um,Spot,Position,1,89,
259.075,153.171,116.059,um,Spot,Position,1,90,
263.38,153.871,116.337,um,Spot,Position,1,91,
244.939,157.24,115.823,um,Spot,Position,1,92,
269.306,187.2,109.584,um,Spot,Position,1,93,
140.261,218.791,106.43,um,Spot,Position,1,94,
127.757,199.111,115.356,um,Spot,Position,1,95,
151.143,224.018,118.469,um,Spot,Position,1,96,
198.376,239.626,102.902,um,Spot,Position,1,97,
190.391,241.44,100.984,um,Spot,Position,1,98,
185.94,248.424,106.61,um,Spot,Position,1,99,
196.443,241.612,110.23,um,Spot,Position,1,100,
170.332,244.687,110.69,um,Spot,Position,1,101,
172.233,235.637,116.842,um,Spot,Position,1,102,
177.429,237.867,118.415,um,Spot,Position,1,103,
202.042,244.502,116.749,um,Spot,Position,1,104,
183.271,246.554,115.282,um,Spot,Position,1,105,
220.264,243.271,106.129,um,Spot,Position,1,106,
254.318,229.197,111.145,um,Spot,Position,1,107,
256.728,212.053,115.573,um,Spot,Position,1,108,
262.036,227.188,115.294,um,Spot,Position,1,109,
243.485,228.785,117.052,um,Spot,Position,1,110,
234.82,240.602,116.774,um,Spot,Position,1,111,
227.345,244.392,117.6,um,Spot,Position,1,112,
218.159,246.098,115.788,um,Spot,Position,1,113,
184.468,254.334,99.4145,um,Spot,Position,1,114,
191.459,253.88,106.519,um,Spot,Position,1,115,
191.692,125.402,120.568,um,Spot,Position,1,116,
215.879,125.623,120.693,um,Spot,Position,1,117,
202.836,138.517,119.65,um,Spot,Position,1,118,
171.486,139.631,119.9,um,Spot,Position,1,119,
215.028,134.251,124.256,um,Spot,Position,1,120,
180.795,138.071,130.272,um,Spot,Position,1,121,
205.717,142.79,136.854,um,Spot,Position,1,122,
172.478,146.806,134.109,um,Spot,Position,1,123,
222.152,138.548,120.907,um,Spot,Position,1,124,
256.496,141.627,119.384,um,Spot,Position,1,125,
220.911,140.431,132.697,um,Spot,Position,1,126,
228.527,118.354,136.235,um,Spot,Position,1,127,
237.053,126.859,137.09,um,Spot,Position,1,128,
244.756,130.137,134.966,um,Spot,Position,1,129,
251.386,130.842,136.406,um,Spot,Position,1,130,
162.702,168.325,120.41,um,Spot,Position,1,131,
149.932,170.094,119.864,um,Spot,Position,1,132,
146.617,169.208,125.15,um,Spot,Position,1,133,
