
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
193.15,130.788,120.066,um,Spot,Position,1,0,
186.902,147.811,111.817,um,Spot,Position,1,1,
191.462,133.323,116.459,um,Spot,Position,1,2,
205.729,136.203,111.662,um,Spot,Position,1,3,
210.134,152.197,120.253,um,Spot,Position,1,4,
225.311,145.511,104.691,um,Spot,Position,1,5,
244.573,141.615,120.909,um,Spot,Position,1,6,
182.251,175.368,81.4812,um,Spot,Position,1,7,
190.593,159.487,87.8087,um,Spot,Position,1,8,
212.261,162.103,86.2238,um,Spot,Position,1,9,
283.722,171.647,119.327,um,Spot,Position,1,10,
279.653,183.514,121.754,um,Spot,Position,1,11,
130.52,208.119,120.785,um,Spot,Position,1,12,
199.403,186.179,71.6729,um,Spot,Position,1,13,
199.815,189.15,71.4905,um,Spot,Position,1,14,
208.033,201.605,76.4971,um,Spot,Position,1,15,
231.858,197.946,62.1066,um,Spot,Position,1,16,
246.924,202.055,76.6035,um,Spot,Position,1,17,
265.537,201.355,121.698,um,Spot,Position,1,18,
275.81,189.717,124.103,um,Spot,Position,1,19,
189.786,219.327,77.6255,um,Spot,Position,1,20,
243.341,234.311,115.72,um,Spot,Position,1,21,
255.594,220.414,102.628,um,Spot,Position,1,22,
251.701,225.078,103.022,um,Spot,Position,1,23,
253.575,225.221,105.621,um,Spot,Position,1,24,
261.691,225.253,122.214,um,Spot,Position,1,25,
266.579,214.488,127.48,um,Spot,Position,1,26,
248.223,234.749,125.889,um,Spot,Position,1,27,
155.689,249.796,125.769,um,Spot,Position,1,28,
183.223,237.48,91.6003,um,Spot,Position,1,29,
181.491,255.329,101.442,um,Spot,Position,1,30,
184.401,256.488,125.973,um,Spot,Position,1,31,
170.325,131.323,138.832,um,Spot,Position,1,32,
202.406,126.771,144.932,um,Spot,Position,1,33,
167.566,134.214,143.877,um,Spot,Position,1,34,
192.45,134.712,144.727,um,Spot,Position,1,35,
169.054,155.7,179.829,um,Spot,Position,1,36,
210.927,133.173,131.821,um,Spot,Position,1,37,
226.118,136.974,137.532,um,Spot,Position,1,38,
231.567,144.285,156.1,um,Spot,Position,1,39,
232.613,152.837,175.611,um,Spot,Position,1,40,
249.802,149.39,140.069,um,Spot,Position,1,41,
256.44,153.868,161.954,um,Spot,Position,1,42,
148.771,175.489,148.813,um,Spot,Position,1,43,
144.706,182.269,155.254,um,Spot,Position,1,44,
145.072,180.081,174.989,um,Spot,Position,1,45,
148.135,181.234,180.118,um,Spot,Position,1,46,
176.376,164.405,173.011,um,Spot,Position,1,47,
173.89,170.654,179.288,um,Spot,Position,1,48,
191.39,181.998,193.02,um,Spot,Position,1,49,
190.811,167.768,194.147,um,Spot,Position,1,50,
177.445,174.097,194.308,um,Spot,Position,1,51,
204.572,164.36,188.326,um,Spot,Position,1,52,
193.498,182.378,199.109,um,Spot,Position,1,53,
218.751,171.303,205.497,um,Spot,Position,1,54,
253.788,175.838,166.876,um,Spot,Position,1,55,
276.029,183.156,129.843,um,Spot,Position,1,56,
147.602,186.373,180.156,um,Spot,Position,1,57,
228.857,189.113,203.881,um,Spot,Position,1,58,
263.016,188.332,144.827,um,Spot,Position,1,59,
262.451,206.947,150.045,um,Spot,Position,1,60,
253.911,189.298,164.787,um,Spot,Position,1,61,
264.43,200.801,166.971,um,Spot,Position,1,62,
140.151,234.839,135.684,um,Spot,Position,1,63,
141.262,230.227,160.074,um,Spot,Position,1,64,
142.242,223.693,141.57,um,Spot,Position,1,65,
166.65,227.827,151.504,um,Spot,Position,1,66,
156.327,214.433,154.949,um,Spot,Position,1,67,
161.95,220.4,154.988,um,Spot,Position,1,68,
152.187,213.884,179.94,um,Spot,Position,1,69,
155.31,218.782,180.118,um,Spot,Position,1,70,
155.504,213.77,184.727,um,Spot,Position,1,71,
176.415,212.196,176.704,um,Spot,Position,1,72,
176.257,214.574,179.631,um,Spot,Position,1,73,
189.241,222.913,184.517,um,Spot,Position,1,74,
172.095,223.705,185.572,um,Spot,Position,1,75,
210.448,232.192,194.615,um,Spot,Position,1,76,
236.315,233.601,165.642,um,Spot,Position,1,77,
242.982,218.918,180.674,um,Spot,Position,1,78,
241.566,217.662,183.009,um,Spot,Position,1,79,
219.193,226.447,184.465,um,Spot,Position,1,80,
229.531,217.019,196.894,um,Spot,Position,1,81,
228.127,215.776,198.677,um,Spot,Position,1,82,
238.877,218.753,198.503,um,Spot,Position,1,83,
266.017,215.808,137.632,um,Spot,Position,1,84,
267.783,215.637,140.265,um,Spot,Position,1,85,
247.648,223.409,174.092,um,Spot,Position,1,86,
247.195,217.64,194.85,um,Spot,Position,1,87,
139.479,242.781,146.079,um,Spot,Position,1,88,
142.722,246.012,147.713,um,Spot,Position,1,89,
153.518,251.614,129.153,um,Spot,Position,1,90,
142.204,242.218,140.485,um,Spot,Position,1,91,
160.072,253.291,140.485,um,Spot,Position,1,92,
166.934,249.735,153.983,um,Spot,Position,1,93,
167.779,252.688,154.101,um,Spot,Position,1,94,
178.721,255.002,139.779,um,Spot,Position,1,95,
182.376,250.831,169.944,um,Spot,Position,1,96,
181.54,247.581,174.356,um,Spot,Position,1,97,
189.27,240.031,181.474,um,Spot,Position,1,98,
179.076,242.139,177.97,um,Spot,Position,1,99,
209.895,257.371,142.519,um,Spot,Position,1,100,
199.502,244.183,180.315,um,Spot,Position,1,101,
197.92,242.431,183.651,um,Spot,Position,1,102,
212.055,253.381,185.985,um,Spot,Position,1,103,
213.69,254.564,194.122,um,Spot,Position,1,104,
199.831,235.824,200.022,um,Spot,Position,1,105,
212.927,241.418,199.645,um,Spot,Position,1,106,
209.928,251.32,198.574,um,Spot,Position,1,107,
213.554,251.808,199.054,um,Spot,Position,1,108,
228.394,249.27,141.865,um,Spot,Position,1,109,
230.079,251.388,145.756,um,Spot,Position,1,110,
234.254,238.577,150.375,um,Spot,Position,1,111,
236.761,238.634,150.001,um,Spot,Position,1,112,
232.785,248.576,151.528,um,Spot,Position,1,113,
230.221,251.566,166.265,um,Spot,Position,1,114,
242.54,244.438,175.923,um,Spot,Position,1,115,
231.066,253.095,186.702,um,Spot,Position,1,116,
235.759,249.925,190.831,um,Spot,Position,1,117,
227.795,251.118,190.214,um,Spot,Position,1,118,
235.298,253.039,192.455,um,Spot,Position,1,119,
230.538,254.289,189.429,um,Spot,Position,1,120,
226.881,247.248,198.856,um,Spot,Position,1,121,
253.434,240.655,146.757,um,Spot,Position,1,122,
255.432,237.252,150.285,um,Spot,Position,1,123,
247.167,241.174,157.03,um,Spot,Position,1,124,
247.994,239.086,183.642,um,Spot,Position,1,125,
192.35,264.2,139.975,um,Spot,Position,1,126,
218.6,174.335,208.921,um,Spot,Position,1,127,
227.674,178.915,209.021,um,Spot,Position,1,128,
