
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
144.39,151.273,24.3758,um,Spot,Position,1,0,
113.563,143.57,35.5234,um,Spot,Position,1,1,
101.409,145.298,37.9156,um,Spot,Position,1,2,
166.7,95.8996,26.7743,um,Spot,Position,1,3,
174.091,104.022,33.8422,um,Spot,Position,1,4,
159.955,144.927,37.5892,um,Spot,Position,1,5,
112.142,156.097,33.8546,um,Spot,Position,1,6,
133.052,177.301,33.9105,um,Spot,Position,1,7,
108.054,172.62,37.0234,um,Spot,Position,1,8,
117.507,157.427,40.7267,um,Spot,Position,1,9,
172.69,171.948,38.7682,um,Spot,Position,1,10,
146.782,184.619,37.1533,um,Spot,Position,1,11,
136.397,94.2116,54.4494,um,Spot,Position,1,12,
142.447,104.19,60.7625,um,Spot,Position,1,13,
141.806,110.645,60.8991,um,Spot,Position,1,14,
165.915,92.4194,48.5687,um,Spot,Position,1,15,
165.422,112.034,48.1065,um,Spot,Position,1,16,
189.717,125.23,48.0272,um,Spot,Position,1,17,
180.018,133.27,47.4025,um,Spot,Position,1,18,
172.813,142.627,48.0337,um,Spot,Position,1,19,
174.261,99.8723,52.1886,um,Spot,Position,1,20,
201.264,140.26,52.0568,um,Spot,Position,1,21,
182.482,101.759,57.4328,um,Spot,Position,1,22,
195.359,136.637,56.3281,um,Spot,Position,1,23,
171.036,104.919,61.961,um,Spot,Position,1,24,
108.364,164.022,53.9475,um,Spot,Position,1,25,
171.688,162.095,48.3904,um,Spot,Position,1,26,
164.86,183.657,48.6962,um,Spot,Position,1,27,
179.37,173.822,60.1032,um,Spot,Position,1,28,
143.093,98.6777,68.6342,um,Spot,Position,1,29,
107.841,119.463,65.1195,um,Spot,Position,1,30,
144.756,86.4793,70.4785,um,Spot,Position,1,31,
100.04,125.265,70.6819,um,Spot,Position,1,32,
82.3595,125.668,77.995,um,Spot,Position,1,33,
138.229,143.897,81.7521,um,Spot,Position,1,34,
202.527,124.244,70.713,um,Spot,Position,1,35,
205.487,132.617,77.4946,um,Spot,Position,1,36,
165.858,140.847,76.1035,um,Spot,Position,1,37,
210.802,145.867,76.751,um,Spot,Position,1,38,
152.363,86.1149,81.3356,um,Spot,Position,1,39,
190.729,98.7576,81.7656,um,Spot,Position,1,40,
198.856,101.037,81.8113,um,Spot,Position,1,41,
211.345,117.547,83.7562,um,Spot,Position,1,42,
121.934,165.864,66.8871,um,Spot,Position,1,43,
125.819,168.864,70.2206,um,Spot,Position,1,44,
102.071,184.172,73.1734,um,Spot,Position,1,45,
128.641,205.495,70.82,um,Spot,Position,1,46,
111.025,192.215,82.405,um,Spot,Position,1,47,
175.498,161.747,70.5134,um,Spot,Position,1,48,
180.152,163.616,82.4467,um,Spot,Position,1,49,
94.6388,114.819,84.6159,um,Spot,Position,1,50,
81.8024,129.184,86.7927,um,Spot,Position,1,51,
97.9904,130.643,84.418,um,Spot,Position,1,52,
94.1454,145.322,90.3954,um,Spot,Position,1,53,
100.239,137.078,96.4806,um,Spot,Position,1,54,
115.422,105.517,101.734,um,Spot,Position,1,55,
213.119,136.641,84.6988,um,Spot,Position,1,56,
180.738,127.256,90.4337,um,Spot,Position,1,57,
151.781,149.673,97.7925,um,Spot,Position,1,58,
150.04,85.9843,100.564,um,Spot,Position,1,59,
97.031,190.314,90.1164,um,Spot,Position,1,60,
110.671,184.222,99.7484,um,Spot,Position,1,61,
206.186,154.458,91.3213,um,Spot,Position,1,62,
165.658,158.447,96.8839,um,Spot,Position,1,63,
151.263,208.322,102.216,um,Spot,Position,1,64,
133.659,115.006,109.492,um,Spot,Position,1,65,
128.526,135.647,111.01,um,Spot,Position,1,66,
88.9471,136.785,110.416,um,Spot,Position,1,67,
124.802,108.072,114.145,um,Spot,Position,1,68,
116.905,128.418,120.723,um,Spot,Position,1,69,
143.463,148.548,119.806,um,Spot,Position,1,70,
152.294,128.576,112.725,um,Spot,Position,1,71,
132.456,152.947,105.057,um,Spot,Position,1,72,
94.7169,156.822,106.989,um,Spot,Position,1,73,
115.172,163.316,107.078,um,Spot,Position,1,74,
93.315,157.209,108.817,um,Spot,Position,1,75,
106.782,158.312,119.23,um,Spot,Position,1,76,
178.233,178.198,106.841,um,Spot,Position,1,77,
158.52,168.339,110.719,um,Spot,Position,1,78,
170.954,174.394,111.316,um,Spot,Position,1,79,
149.912,184.153,112.404,um,Spot,Position,1,80,
173.704,173.163,121.064,um,Spot,Position,1,81,
120.508,134.827,123.828,um,Spot,Position,1,82,
184.466,122.18,128.829,um,Spot,Position,1,83,
185.396,133.146,131.947,um,Spot,Position,1,84,
160.407,159.673,124.822,um,Spot,Position,1,85,
158.856,193.944,133.939,um,Spot,Position,1,86,
126.228,134.802,143.843,um,Spot,Position,1,87,
140.305,142.534,149.167,um,Spot,Position,1,88,
