
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
130.693,135.788,24.2899,um,Spot,Position,1,0,
154.53,147.833,17.8974,um,Spot,Position,1,1,
164.365,147.614,23.0113,um,Spot,Position,1,2,
174.431,161.362,17.7123,um,Spot,Position,1,3,
164.531,151.514,23.257,um,Spot,Position,1,4,
184.563,152.097,22.7585,um,Spot,Position,1,5,
149.065,157.614,23.4874,um,Spot,Position,1,6,
141.01,116.878,26.7364,um,Spot,Position,1,7,
123.032,124.133,27.3374,um,Spot,Position,1,8,
132.326,137.904,26.4132,um,Spot,Position,1,9,
121.376,112.886,32.2368,um,Spot,Position,1,10,
116.822,125.596,31.1568,um,Spot,Position,1,11,
114.802,145.594,33.8448,um,Spot,Position,1,12,
131.523,113.161,36.9928,um,Spot,Position,1,13,
141.476,113.321,36.8591,um,Spot,Position,1,14,
129.639,120.546,38.0692,um,Spot,Position,1,15,
104.573,123.108,37.7653,um,Spot,Position,1,16,
138.304,131.686,38.5655,um,Spot,Position,1,17,
120.846,139.659,37.8559,um,Spot,Position,1,18,
99.2051,148.106,37.989,um,Spot,Position,1,19,
109.907,124.409,42.7466,um,Spot,Position,1,20,
136.113,144.624,41.9701,um,Spot,Position,1,21,
158.766,122.154,27.5715,um,Spot,Position,1,22,
159.849,136.062,27.7316,um,Spot,Position,1,23,
148.262,139.319,28.7182,um,Spot,Position,1,24,
160.628,94.5129,32.4521,um,Spot,Position,1,25,
190.609,138.476,33.2813,um,Spot,Position,1,26,
178.617,138.869,31.8047,um,Spot,Position,1,27,
173.001,101.19,36.6371,um,Spot,Position,1,28,
158.733,109.897,36.9539,um,Spot,Position,1,29,
154.589,116.404,36.8484,um,Spot,Position,1,30,
196.96,125.492,37.9318,um,Spot,Position,1,31,
181.925,149.759,37.4255,um,Spot,Position,1,32,
157.082,101.419,41.2486,um,Spot,Position,1,33,
191.006,108.552,42.2363,um,Spot,Position,1,34,
167.323,121.355,42.8916,um,Spot,Position,1,35,
191.32,130.006,41.9488,um,Spot,Position,1,36,
157.773,133.856,40.3906,um,Spot,Position,1,37,
149.39,135.606,42.1631,um,Spot,Position,1,38,
135.268,161.544,28.7788,um,Spot,Position,1,39,
115.951,167.544,33.7658,um,Spot,Position,1,40,
129.655,157.705,37.7188,um,Spot,Position,1,41,
112.781,158.85,36.9618,um,Spot,Position,1,42,
125.282,165.595,36.7289,um,Spot,Position,1,43,
143.665,169.299,37.3843,um,Spot,Position,1,44,
140.231,158.211,42.932,um,Spot,Position,1,45,
114.679,168.763,41.3321,um,Spot,Position,1,46,
129.634,177.177,40.709,um,Spot,Position,1,47,
116.181,180.63,41.8367,um,Spot,Position,1,48,
122.84,190.335,44.006,um,Spot,Position,1,49,
140.506,204.741,41.996,um,Spot,Position,1,50,
158.81,150.921,27.423,um,Spot,Position,1,51,
170.998,155.457,26.0854,um,Spot,Position,1,52,
158.457,162.435,29.7196,um,Spot,Position,1,53,
160.573,175.185,28.4948,um,Spot,Position,1,54,
160.588,178.222,30.9236,um,Spot,Position,1,55,
176.82,163.435,37.7876,um,Spot,Position,1,56,
167.934,175.114,37.7019,um,Spot,Position,1,57,
174.85,173.148,40.6353,um,Spot,Position,1,58,
170.8,183.591,43.892,um,Spot,Position,1,59,
163.788,191.217,43.5571,um,Spot,Position,1,60,
152.1,192.167,41.5322,um,Spot,Position,1,61,
118.613,99.9879,48.2948,um,Spot,Position,1,62,
119.534,107.096,48.3206,um,Spot,Position,1,63,
135.487,122.31,47.3553,um,Spot,Position,1,64,
104.157,130.376,48.8629,um,Spot,Position,1,65,
106.558,142.532,47.5851,um,Spot,Position,1,66,
133.6,144.519,45.7597,um,Spot,Position,1,67,
139.449,103.935,52.8826,um,Spot,Position,1,68,
134.077,112.597,51.8074,um,Spot,Position,1,69,
144.682,115.432,52.2078,um,Spot,Position,1,70,
120.28,122.438,53.5532,um,Spot,Position,1,71,
96.1016,137.344,52.7754,um,Spot,Position,1,72,
117.648,137.629,51.7743,um,Spot,Position,1,73,
108.516,126.44,58.4685,um,Spot,Position,1,74,
141.959,128.041,56.0945,um,Spot,Position,1,75,
107.725,131.715,57.0233,um,Spot,Position,1,76,
123.919,143.511,56.8355,um,Spot,Position,1,77,
135.958,149.892,56.5869,um,Spot,Position,1,78,
116.002,101.449,62.4893,um,Spot,Position,1,79,
129.652,110.385,62.0375,um,Spot,Position,1,80,
92.5416,114.28,61.6702,um,Spot,Position,1,81,
104.761,114.581,61.9638,um,Spot,Position,1,82,
81.4635,144.321,61.2217,um,Spot,Position,1,83,
98.7313,144.874,62.3458,um,Spot,Position,1,84,
191.261,120.414,46.737,um,Spot,Position,1,85,
206.173,141.913,49.0862,um,Spot,Position,1,86,
195.143,148.352,47.6432,um,Spot,Position,1,87,
162.515,98.6194,50.0987,um,Spot,Position,1,88,
192.476,113.341,52.8122,um,Spot,Position,1,89,
208.18,143.067,52.569,um,Spot,Position,1,90,
147.321,96.231,57.4584,um,Spot,Position,1,91,
169.523,99.5146,57.891,um,Spot,Position,1,92,
209.873,143.144,54.8485,um,Spot,Position,1,93,
183.139,145.685,56.483,um,Spot,Position,1,94,
190.514,146.79,54.5161,um,Spot,Position,1,95,
157.59,83.5251,63.2222,um,Spot,Position,1,96,
182.091,94.9696,64.298,um,Spot,Position,1,97,
167.561,94.857,61.6445,um,Spot,Position,1,98,
169.423,118.198,62.8895,um,Spot,Position,1,99,
191.233,122.512,60.9011,um,Spot,Position,1,100,
168.257,128.417,63.6559,um,Spot,Position,1,101,
124.765,155.216,46.7944,um,Spot,Position,1,102,
77.288,162.483,48.3138,um,Spot,Position,1,103,
109.676,172.195,49.5261,um,Spot,Position,1,104,
113.209,182.566,46.6608,um,Spot,Position,1,105,
117.324,158.474,52.7471,um,Spot,Position,1,106,
90.7032,164.83,51.31,um,Spot,Position,1,107,
104.232,170.57,52.8072,um,Spot,Position,1,108,
94.0941,175.83,52.1198,um,Spot,Position,1,109,
114.18,187.584,52.4838,um,Spot,Position,1,110,
126.251,189.53,49.6826,um,Spot,Position,1,111,
107.78,150.423,56.9208,um,Spot,Position,1,112,
93.505,153.958,55.8905,um,Spot,Position,1,113,
102.637,155.769,56.9138,um,Spot,Position,1,114,
115.668,162.286,55.9699,um,Spot,Position,1,115,
83.5081,164.715,59.2982,um,Spot,Position,1,116,
130.207,169.385,57.1004,um,Spot,Position,1,117,
144.691,186.374,57.3078,um,Spot,Position,1,118,
