
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
172.269,191.395,42.0408,um,Spot,Position,1,0,
190.782,188.471,42.339,um,Spot,Position,1,1,
154.53,199.819,43.6993,um,Spot,Position,1,2,
165.515,206.844,43.91,um,Spot,Position,1,3,
179.956,210.098,42.5534,um,Spot,Position,1,4,
193.431,210.956,40.1915,um,Spot,Position,1,5,
130.152,185.967,61.3966,um,Spot,Position,1,6,
169.401,194.707,48.1124,um,Spot,Position,1,7,
161.882,177.018,59.1327,um,Spot,Position,1,8,
152.389,183.508,58.9958,um,Spot,Position,1,9,
151.77,197.611,55.7293,um,Spot,Position,1,10,
136.081,167.378,61.7063,um,Spot,Position,1,11,
175.325,176.068,61.6892,um,Spot,Position,1,12,
162.898,178.814,62.4353,um,Spot,Position,1,13,
166.648,192.349,61.9057,um,Spot,Position,1,14,
201.188,155.428,46.8646,um,Spot,Position,1,15,
216.147,186.827,47.0061,um,Spot,Position,1,16,
199.934,185.884,53.8075,um,Spot,Position,1,17,
220.981,194.282,52.1877,um,Spot,Position,1,18,
229.217,160.342,58.7934,um,Spot,Position,1,19,
195.927,166.977,58.2796,um,Spot,Position,1,20,
232.956,184.146,58.8505,um,Spot,Position,1,21,
233.049,158.924,63.0901,um,Spot,Position,1,22,
214.588,173.405,62.0201,um,Spot,Position,1,23,
206.288,187.541,60.9063,um,Spot,Position,1,24,
184.004,195.298,61.4929,um,Spot,Position,1,25,
170.858,210.097,47.2653,um,Spot,Position,1,26,
142.601,213.257,47.8795,um,Spot,Position,1,27,
175.761,223.395,47.3353,um,Spot,Position,1,28,
154.596,201.279,52.5728,um,Spot,Position,1,29,
168.171,201.763,52.8501,um,Spot,Position,1,30,
178.778,211.12,52.2275,um,Spot,Position,1,31,
150.591,219.284,51.7597,um,Spot,Position,1,32,
155.594,220.366,51.949,um,Spot,Position,1,33,
179.566,205.597,56.6185,um,Spot,Position,1,34,
153.782,210.029,56.0619,um,Spot,Position,1,35,
136.396,200.522,62.6274,um,Spot,Position,1,36,
133.187,214.901,62.1073,um,Spot,Position,1,37,
139.795,230.622,62.9503,um,Spot,Position,1,38,
181.58,232.891,60.4574,um,Spot,Position,1,39,
207.131,211.74,48.6138,um,Spot,Position,1,40,
196.592,215.285,47.7411,um,Spot,Position,1,41,
193.985,225.916,47.5913,um,Spot,Position,1,42,
206.612,200.379,53.2757,um,Spot,Position,1,43,
208.116,209.146,52.0677,um,Spot,Position,1,44,
221.057,209.861,49.6829,um,Spot,Position,1,45,
185.052,222.406,52.8133,um,Spot,Position,1,46,
205.051,208.063,56.1837,um,Spot,Position,1,47,
214.45,213.25,59.5052,um,Spot,Position,1,48,
202.51,218.298,56.8667,um,Spot,Position,1,49,
205.693,226.128,58.8091,um,Spot,Position,1,50,
190.769,202.252,61.6831,um,Spot,Position,1,51,
