
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
166.004,177.164,82.0523,um,Spot,Position,1,0,
195.883,154.724,73.8332,um,Spot,Position,1,1,
187.448,149.192,79.3648,um,Spot,Position,1,2,
192.194,163.261,82.413,um,Spot,Position,1,3,
242.918,174.558,80.6517,um,Spot,Position,1,4,
175.993,212.144,77.3866,um,Spot,Position,1,5,
203.538,123.93,98.9127,um,Spot,Position,1,6,
168.331,149.813,102.964,um,Spot,Position,1,7,
173.904,171.132,98.8198,um,Spot,Position,1,8,
210.439,133.464,88.2654,um,Spot,Position,1,9,
210.424,130.252,90.7969,um,Spot,Position,1,10,
189.814,143.682,92.1094,um,Spot,Position,1,11,
191.308,168.028,97.5234,um,Spot,Position,1,12,
248.501,177.366,91.3966,um,Spot,Position,1,13,
227.948,143.865,100.911,um,Spot,Position,1,14,
274.001,165.645,99.4476,um,Spot,Position,1,15,
278.994,175.752,96.8633,um,Spot,Position,1,16,
201.798,200.748,91.1854,um,Spot,Position,1,17,
205.604,203.511,90.3195,um,Spot,Position,1,18,
249.918,209.413,103.423,um,Spot,Position,1,19,
160.769,134.087,107.446,um,Spot,Position,1,20,
165.762,150.366,103.821,um,Spot,Position,1,21,
158.866,176.205,106.724,um,Spot,Position,1,22,
172.558,176.357,121.095,um,Spot,Position,1,23,
188.899,160.964,111.143,um,Spot,Position,1,24,
175.006,134.975,115.838,um,Spot,Position,1,25,
218.038,149.951,114.551,um,Spot,Position,1,26,
239.484,157.882,110.381,um,Spot,Position,1,27,
232.283,163.346,114.233,um,Spot,Position,1,28,
271.902,151.805,118.929,um,Spot,Position,1,29,
217.882,193.928,112.634,um,Spot,Position,1,30,
173.878,227.745,113.938,um,Spot,Position,1,31,
205.618,188.8,122.137,um,Spot,Position,1,32,
215.025,200.779,121.791,um,Spot,Position,1,33,
252.786,208.069,105.144,um,Spot,Position,1,34,
169.476,125.064,123.728,um,Spot,Position,1,35,
155.502,99.858,135.512,um,Spot,Position,1,36,
151.066,107.29,135.589,um,Spot,Position,1,37,
172.745,107.683,136.426,um,Spot,Position,1,38,
170.221,104.735,140.843,um,Spot,Position,1,39,
236.739,100.347,139.905,um,Spot,Position,1,40,
166.417,140.526,124.77,um,Spot,Position,1,41,
137.651,162.873,127.713,um,Spot,Position,1,42,
146.224,138.023,129.698,um,Spot,Position,1,43,
150.01,153.958,129.968,um,Spot,Position,1,44,
159.16,159.412,135.185,um,Spot,Position,1,45,
164.494,152.083,139.491,um,Spot,Position,1,46,
185.689,162.088,129.717,um,Spot,Position,1,47,
189.695,160.706,136.444,um,Spot,Position,1,48,
176.492,175.045,137.023,um,Spot,Position,1,49,
193.822,159.013,139.113,um,Spot,Position,1,50,
194.105,172.889,139.674,um,Spot,Position,1,51,
268.367,143.943,127.292,um,Spot,Position,1,52,
270.268,143.536,129.398,um,Spot,Position,1,53,
246.692,157.863,132.582,um,Spot,Position,1,54,
248.45,162.283,141.137,um,Spot,Position,1,55,
270.68,162.245,139.959,um,Spot,Position,1,56,
160.914,197.677,127.718,um,Spot,Position,1,57,
141.154,193.38,129.052,um,Spot,Position,1,58,
161.784,215.776,134.14,um,Spot,Position,1,59,
151.18,186.37,140.052,um,Spot,Position,1,60,
146.257,207.049,138.688,um,Spot,Position,1,61,
210.787,206.959,127.755,um,Spot,Position,1,62,
220.073,210.563,135.09,um,Spot,Position,1,63,
187.928,197.238,139.75,um,Spot,Position,1,64,
227.288,189.739,124.597,um,Spot,Position,1,65,
230.16,206.154,136.154,um,Spot,Position,1,66,
249.988,217.32,142.019,um,Spot,Position,1,67,
167.589,100.446,150.319,um,Spot,Position,1,68,
158.107,103.303,150.123,um,Spot,Position,1,69,
213.171,123.483,162.594,um,Spot,Position,1,70,
232.421,108.79,155.676,um,Spot,Position,1,71,
132.635,169.83,149.165,um,Spot,Position,1,72,
207.321,148.821,145.582,um,Spot,Position,1,73,
220.859,149.5,148.093,um,Spot,Position,1,74,
211.149,154.133,159.1,um,Spot,Position,1,75,
236.339,140.129,152.434,um,Spot,Position,1,76,
239.245,138.738,158.69,um,Spot,Position,1,77,
193.709,190.102,146.89,um,Spot,Position,1,78,
175.294,184.759,149.539,um,Spot,Position,1,79,
203.988,193.87,150.806,um,Spot,Position,1,80,
255.828,217.878,150.198,um,Spot,Position,1,81,
260.135,191.971,157.092,um,Spot,Position,1,82,
259.688,188.585,160.2,um,Spot,Position,1,83,
258.483,192.111,159.019,um,Spot,Position,1,84,
245.123,231.968,147.757,um,Spot,Position,1,85,
211.166,123.327,165.066,um,Spot,Position,1,86,
219.72,120.222,179.976,um,Spot,Position,1,87,
176.768,134.018,170.418,um,Spot,Position,1,88,
179.969,135.027,170.976,um,Spot,Position,1,89,
199.246,170.212,169.281,um,Spot,Position,1,90,
197.96,129.637,176.509,um,Spot,Position,1,91,
270.998,166.441,163.672,um,Spot,Position,1,92,
172.45,198.083,165.885,um,Spot,Position,1,93,
147.645,209.6,165.823,um,Spot,Position,1,94,
142.424,193.513,168.682,um,Spot,Position,1,95,
151.361,198.455,175.824,um,Spot,Position,1,96,
173.028,191.685,180.9,um,Spot,Position,1,97,
155.798,198.271,180.593,um,Spot,Position,1,98,
191.948,193.206,169.937,um,Spot,Position,1,99,
189.312,182.207,176.218,um,Spot,Position,1,100,
174.627,219.006,179.674,um,Spot,Position,1,101,
205.521,226.656,179.387,um,Spot,Position,1,102,
257.093,189.364,163.759,um,Spot,Position,1,103,
247.379,227.939,166.603,um,Spot,Position,1,104,
226.87,191.859,177.463,um,Spot,Position,1,105,
227.586,201.774,175.735,um,Spot,Position,1,106,
236.386,184.452,179.309,um,Spot,Position,1,107,
147.615,151.521,183.5,um,Spot,Position,1,108,
138.287,177.456,183.294,um,Spot,Position,1,109,
145.47,178.492,183.143,um,Spot,Position,1,110,
192.531,166.589,184.373,um,Spot,Position,1,111,
191.621,155.546,189.089,um,Spot,Position,1,112,
199.079,178.467,193.978,um,Spot,Position,1,113,
190.533,149.213,197.612,um,Spot,Position,1,114,
178.425,159.628,199.67,um,Spot,Position,1,115,
232.493,144.106,183.862,um,Spot,Position,1,116,
231.003,164.032,183.214,um,Spot,Position,1,117,
145.328,207.668,183.845,um,Spot,Position,1,118,
148.6,228.344,184.759,um,Spot,Position,1,119,
144.599,204.215,188.638,um,Spot,Position,1,120,
167.216,220.34,191.325,um,Spot,Position,1,121,
145.115,183.559,199.04,um,Spot,Position,1,122,
171.112,214.926,201.182,um,Spot,Position,1,123,
207.332,229.698,182.851,um,Spot,Position,1,124,
185.965,182.613,201.524,um,Spot,Position,1,125,
248.615,193.798,186.625,um,Spot,Position,1,126,
217.547,231.245,189.445,um,Spot,Position,1,127,
234.21,194.46,202.624,um,Spot,Position,1,128,
