
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
167.353,83.2041,96.5333,um,Spot,Position,1,0,
158.757,84.3741,117.457,um,Spot,Position,1,1,
105.199,111.199,118.513,um,Spot,Position,1,2,
138.243,106.123,81.8667,um,Spot,Position,1,3,
120.977,108.303,85.2592,um,Spot,Position,1,4,
126.845,112.351,103.413,um,Spot,Position,1,5,
129.665,87.3983,107.121,um,Spot,Position,1,6,
136.563,98.3701,106.973,um,Spot,Position,1,7,
124.885,100.792,106.218,um,Spot,Position,1,8,
115.518,102.241,110.795,um,Spot,Position,1,9,
138.444,111.409,110.963,um,Spot,Position,1,10,
121.988,111.789,112.171,um,Spot,Position,1,11,
133.608,93.8045,116.372,um,Spot,Position,1,12,
119.7,113.919,115.294,um,Spot,Position,1,13,
137.726,109.386,120.499,um,Spot,Position,1,14,
166.419,106.353,72.2408,um,Spot,Position,1,15,
151.219,105.081,75.968,um,Spot,Position,1,16,
144.39,107.862,82.5399,um,Spot,Position,1,17,
147.977,92.5807,92.8051,um,Spot,Position,1,18,
152.451,92.7956,95.9746,um,Spot,Position,1,19,
169.994,109.294,97.9437,um,Spot,Position,1,20,
142.568,112.6,96.4174,um,Spot,Position,1,21,
147.714,86.9426,108.122,um,Spot,Position,1,22,
147.681,94.1003,105.176,um,Spot,Position,1,23,
184.794,104.254,86.7458,um,Spot,Position,1,24,
197.526,106.82,98.2007,um,Spot,Position,1,25,
193.534,101.423,100.625,um,Spot,Position,1,26,
175.387,108.278,101.03,um,Spot,Position,1,27,
185.187,91.0602,104.197,um,Spot,Position,1,28,
178.514,97.2382,105.913,um,Spot,Position,1,29,
195.333,101.969,111.605,um,Spot,Position,1,30,
172.435,103.202,112.457,um,Spot,Position,1,31,
191.195,92.0437,116.436,um,Spot,Position,1,32,
191.476,108.606,114.837,um,Spot,Position,1,33,
197.163,111.311,116.098,um,Spot,Position,1,34,
175.527,89.8273,119.289,um,Spot,Position,1,35,
184.694,100.697,122.119,um,Spot,Position,1,36,
200.648,107.921,93.58,um,Spot,Position,1,37,
212.282,107.238,121.958,um,Spot,Position,1,38,
107.181,123.22,92.5947,um,Spot,Position,1,39,
106.968,131.074,106.911,um,Spot,Position,1,40,
108.947,140.053,105.198,um,Spot,Position,1,41,
102.467,130.475,109.765,um,Spot,Position,1,42,
96.7636,139.908,109.425,um,Spot,Position,1,43,
120.026,139.83,73.1554,um,Spot,Position,1,44,
122.904,132.82,83.0127,um,Spot,Position,1,45,
128.689,142.285,79.9865,um,Spot,Position,1,46,
123.028,135.435,84.4959,um,Spot,Position,1,47,
131.664,130.864,92.5014,um,Spot,Position,1,48,
127.263,118.996,105.619,um,Spot,Position,1,49,
123.562,131.838,105.762,um,Spot,Position,1,50,
120.028,117.439,111.455,um,Spot,Position,1,51,
126.68,115.713,119.284,um,Spot,Position,1,52,
139.188,126.842,122.146,um,Spot,Position,1,53,
162.396,131.058,63.0235,um,Spot,Position,1,54,
149.5,131.845,62.8977,um,Spot,Position,1,55,
145.093,118.858,68.8717,um,Spot,Position,1,56,
147.346,130.728,65.3566,um,Spot,Position,1,57,
142.463,118.767,70.2355,um,Spot,Position,1,58,
164.296,140.002,71.5047,um,Spot,Position,1,59,
153.313,127.423,75.1161,um,Spot,Position,1,60,
145.745,140.401,76.9706,um,Spot,Position,1,61,
166.967,115.878,81.1345,um,Spot,Position,1,62,
149.615,115.242,88.1655,um,Spot,Position,1,63,
166.747,130.68,103.297,um,Spot,Position,1,64,
167.867,117.386,109.527,um,Spot,Position,1,65,
160.821,115.607,122.142,um,Spot,Position,1,66,
145.302,116.648,122.223,um,Spot,Position,1,67,
180.807,136.777,61.567,um,Spot,Position,1,68,
183.647,126.89,73.4713,um,Spot,Position,1,69,
171.703,138.684,72.7683,um,Spot,Position,1,70,
185.676,126.861,74.6219,um,Spot,Position,1,71,
181.12,137.623,77.118,um,Spot,Position,1,72,
189.634,116.852,91.133,um,Spot,Position,1,73,
178.224,118.518,91.9131,um,Spot,Position,1,74,
192.459,122.867,106.668,um,Spot,Position,1,75,
190.171,125.998,110.606,um,Spot,Position,1,76,
173.291,141.889,112.023,um,Spot,Position,1,77,
179.837,136.696,117.519,um,Spot,Position,1,78,
223.981,134.166,87.8974,um,Spot,Position,1,79,
209.305,131.046,91.8723,um,Spot,Position,1,80,
220.462,142.213,95.3175,um,Spot,Position,1,81,
207.668,117.815,112.843,um,Spot,Position,1,82,
222.81,131.136,116.804,um,Spot,Position,1,83,
231.888,133.92,81.9256,um,Spot,Position,1,84,
235.094,129.492,92.5047,um,Spot,Position,1,85,
100.373,153.431,106.107,um,Spot,Position,1,86,
107.695,167.158,121.763,um,Spot,Position,1,87,
134.025,150.653,74.825,um,Spot,Position,1,88,
123.112,159.558,81.3413,um,Spot,Position,1,89,
132.376,167.521,82.5381,um,Spot,Position,1,90,
113.616,151.581,87.0686,um,Spot,Position,1,91,
117.88,160.367,89.2122,um,Spot,Position,1,92,
115.734,145.163,89.6727,um,Spot,Position,1,93,
139.262,145.333,92.9053,um,Spot,Position,1,94,
133.414,154.531,92.6217,um,Spot,Position,1,95,
117.903,157.112,95.7914,um,Spot,Position,1,96,
