
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,ID,
146.745,151.644,117.576,um,Spot,Position,1,0,
146.141,120.227,121.454,um,Spot,Position,1,1,
138.513,142.069,120.271,um,Spot,Position,1,2,
169.224,146.814,114.632,um,Spot,Position,1,3,
134.717,125.144,126.879,um,Spot,Position,1,4,
134.987,108.691,133.737,um,Spot,Position,1,5,
161.659,151.977,141.495,um,Spot,Position,1,6,
218.019,137.186,140.21,um,Spot,Position,1,7,
166.273,189.323,125.619,um,Spot,Position,1,8,
142.59,188.357,132.863,um,Spot,Position,1,9,
177.327,195.782,131.493,um,Spot,Position,1,10,
198.217,169.342,135.655,um,Spot,Position,1,11,
164.122,153.534,143.482,um,Spot,Position,1,12,
112.676,110.451,150.006,um,Spot,Position,1,13,
100.72,133.574,151.129,um,Spot,Position,1,14,
116.294,113.198,156.06,um,Spot,Position,1,15,
122.821,151.348,154.189,um,Spot,Position,1,16,
127.227,155.867,155.752,um,Spot,Position,1,17,
171.578,106.635,145.592,um,Spot,Position,1,18,
188.842,148.384,154.809,um,Spot,Position,1,19,
174.287,150.935,157.183,um,Spot,Position,1,20,
171.825,151.978,159.421,um,Spot,Position,1,21,
122.584,159.691,147.001,um,Spot,Position,1,22,
152.225,172.274,143.515,um,Spot,Position,1,23,
161.817,172.472,150.942,um,Spot,Position,1,24,
130.308,160.306,159.196,um,Spot,Position,1,25,
145.438,167.378,160.471,um,Spot,Position,1,26,
143.692,191.711,159.295,um,Spot,Position,1,27,
185.503,217.126,151.077,um,Spot,Position,1,28,
190.07,207.099,157.391,um,Spot,Position,1,29,
175.575,171.951,161.375,um,Spot,Position,1,30,
174.546,175.357,160.041,um,Spot,Position,1,31,
185.653,178.698,160.703,um,Spot,Position,1,32,
191.792,205.296,159.655,um,Spot,Position,1,33,
107.579,136.146,164.331,um,Spot,Position,1,34,
165.213,130.507,171.569,um,Spot,Position,1,35,
130.121,120.256,176.237,um,Spot,Position,1,36,
101.394,138.06,174.386,um,Spot,Position,1,37,
148.094,138.15,174.94,um,Spot,Position,1,38,
129.018,148.719,173.96,um,Spot,Position,1,39,
101.52,156.82,174.454,um,Spot,Position,1,40,
113.232,121.566,178.918,um,Spot,Position,1,41,
136.671,123.824,179.43,um,Spot,Position,1,42,
116.711,141.116,180.339,um,Spot,Position,1,43,
174.94,138.683,165.363,um,Spot,Position,1,44,
210.748,136.111,168.604,um,Spot,Position,1,45,
177.221,128.459,176.647,um,Spot,Position,1,46,
176.013,125.106,182.092,um,Spot,Position,1,47,
211.626,152.799,180.939,um,Spot,Position,1,48,
157.59,174.83,164.479,um,Spot,Position,1,49,
127.835,202.183,164.003,um,Spot,Position,1,50,
136.893,178.221,179.243,um,Spot,Position,1,51,
119.836,183.58,178.457,um,Spot,Position,1,52,
176.931,163.892,172.024,um,Spot,Position,1,53,
185.341,206.37,168.202,um,Spot,Position,1,54,
191.615,191.903,181.18,um,Spot,Position,1,55,
133.381,119.615,185.386,um,Spot,Position,1,56,
114.3,136.642,185.9,um,Spot,Position,1,57,
112.737,150.529,184.755,um,Spot,Position,1,58,
115.976,127.666,191.06,um,Spot,Position,1,59,
116.902,152.956,189.008,um,Spot,Position,1,60,
147.139,153.11,189.458,um,Spot,Position,1,61,
166.44,134.773,196.449,um,Spot,Position,1,62,
159.221,154.139,196.259,um,Spot,Position,1,63,
181.036,122.555,185.352,um,Spot,Position,1,64,
179.505,126.258,188.307,um,Spot,Position,1,65,
210.565,134.36,191.446,um,Spot,Position,1,66,
176.152,145.188,194.078,um,Spot,Position,1,67,
190.052,112.094,199.862,um,Spot,Position,1,68,
126.719,161.516,185.771,um,Spot,Position,1,69,
136.407,200.818,183.853,um,Spot,Position,1,70,
137.225,193.857,191.855,um,Spot,Position,1,71,
122.232,157.923,197.01,um,Spot,Position,1,72,
111.377,180.803,194.615,um,Spot,Position,1,73,
148.614,192.359,199.604,um,Spot,Position,1,74,
188.408,159.059,183.807,um,Spot,Position,1,75,
192.207,181.88,184.823,um,Spot,Position,1,76,
174.208,173.073,190.113,um,Spot,Position,1,77,
162.592,125.923,205.132,um,Spot,Position,1,78,
146.843,136.997,206.336,um,Spot,Position,1,79,
152.521,129.728,213.856,um,Spot,Position,1,80,
141.524,153.289,214.83,um,Spot,Position,1,81,
121.161,126.076,219.353,um,Spot,Position,1,82,
111.191,128.983,217.524,um,Spot,Position,1,83,
176.506,150.458,206.076,um,Spot,Position,1,84,
201.436,143.204,208.862,um,Spot,Position,1,85,
135.016,164.553,208.842,um,Spot,Position,1,86,
158.581,186.403,212.858,um,Spot,Position,1,87,
173.784,163.878,212.062,um,Spot,Position,1,88,
136.014,119.477,226.195,um,Spot,Position,1,89,
123.124,164.78,224.439,um,Spot,Position,1,90,
132.046,170.103,227.855,um,Spot,Position,1,91,
